ko	ko_definition	modules_with_ko	ARTi	ArsAcraccivora	ArsAsiaII3	ArsBTMEDQ21	ArsBee02222015	ArsBeeUS	ArsCjap	ArsFIN	ArsIxoH	ArsLausane	ArsMelophagi	ArsPB	ArsPV	ArsPerl	ArsUK	ArsenophonusARAD	ArsenophonusARAF	ArsenophonusDSM15247	ArsenophonusENCA	ArsenophonusHangzhou	ArsenophonusLipoptena	Ca_Riesia_pediculicola	Ca_Riesia_pediculischaeffi	EA	EB1	EB2	ERR7799985	ERR7800036	ERR7800037	ONit	P_thracensis	Proteus_mirabilis	Providencia_stuartii	SRR10590585	SRR10590592	SRR12528003	SRR13788609	SRR13788620	SRR13788625	SRR2001675	SRR2001708	SRR5317834	SRR6301423	X_nematophila	aApi_AU
K00005	glycerol dehydrogenase [EC:1.1.1.6]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	M00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	M00014,M00129	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1
K00013	histidinol dehydrogenase [EC:1.1.1.23]	M00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
K00014	shikimate dehydrogenase [EC:1.1.1.25]	M00022	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	M00095,M00849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00026	malate dehydrogenase [EC:1.1.1.37]	M00009,M00011,M00012,M00168,M00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	None	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	M00169,M00172	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	M00009,M00010,M00740,M00173,M00614	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	M00004,M00006	2	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
