	ArsBeeAU	ArsBeeCH	ArsBeeUS	ArsDSM	ArsFIN	ArsIxoH	ArsLausane	ArsPB	ArsPerl	ArsPV	ArsUK	SRR2001675	SRR2001708	AC	BB1	BB2	BB3	BBi	BC	BT1	BT2	BT3	BV	EA	EB1	ON
ArsBeeAU	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ArsBeeCH	0	24	23	0	0	0	0	0	0	0	0	0	22	0	0	0	0	22	20	0	0	0	22	0	0	0
ArsBeeUS	0	23	24	0	0	0	0	0	0	0	0	0	23	0	0	0	0	21	19	0	0	0	21	0	0	0
ArsDSM	0	0	0	13	11	0	13	0	13	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ArsFIN	0	0	0	11	11	0	11	0	11	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ArsIxoH	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ArsLausane	0	0	0	13	11	0	13	0	13	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ArsPB	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ArsPerl	0	0	0	13	11	0	13	0	13	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ArsPV	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ArsUK	0	0	0	13	11	0	13	0	13	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR2001675	0	0	0	0	0	0	0	0	0	0	0	21	0	0	6	6	6	0	0	21	21	21	0	0	0	0
SRR2001708	0	22	23	0	0	0	0	0	0	0	0	0	24	0	0	0	0	20	18	0	0	0	20	0	0	0
AC	0	6	6	0	0	0	0	0	0	0	0	0	6	6	0	0	0	5	3	0	0	0	5	0	0	0
BB1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	15	12	12	0	0	6	6	6	0	0	0	0
BB2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	12	12	12	0	0	6	6	6	0	0	0	0
BB3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	12	12	12	0	0	6	6	6	0	0	0	0
BBi	0	22	21	0	0	0	0	0	0	0	0	0	20	0	0	0	0	28	20	0	0	0	26	0	0	0
BC	0	20	19	0	0	0	0	0	0	0	0	0	18	0	0	0	0	20	26	0	0	0	21	0	0	0
BT1	0	0	0	0	0	0	0	0	0	0	0	21	0	0	6	6	6	0	0	21	21	21	0	0	0	0
BT2	0	0	0	0	0	0	0	0	0	0	0	21	0	0	6	6	6	0	0	21	21	21	0	0	0	0
BT3	0	0	0	0	0	0	0	0	0	0	0	21	0	0	6	6	6	0	0	21	21	21	0	0	0	0
BV	0	22	21	0	0	0	0	0	0	0	0	0	20	0	0	0	0	26	21	0	0	0	29	0	0	0
EA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	8	0
EB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	35	0
ON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
